optimizer,circuit,dataset,iteration,epoch,cost,train_acc,test_acc,trained_weights,untrained_weights,shape
adagrad,PairwiseCRot,iris,0,0,1.1561763650158492,0.5333333333333333,0.44,"[[[ 0.0641114  -0.11019973  0.05461209]
  [ 0.07254011 -0.10953201  0.08963077]
  [ 0.07545302 -0.08975025  0.04860913]
  [-0.07756076  0.10973705 -0.08759499]]

 [[ 0.08116653 -0.08439585  0.01730156]
  [ 0.06721881 -0.08758542  0.04696449]
  [-0.00539372 -0.08864475 -0.03879511]
  [-0.05612537  0.11720771  0.03140683]]

 [[ 0.08576119 -0.09661305  0.07217727]
  [ 0.06219204 -0.11342652  0.03095499]
  [-0.07350235 -0.10578126 -0.07500531]
  [ 0.07198128  0.11682399  0.06715589]]

 [[ 0.0955584  -0.09586647  0.10290138]
  [ 0.03977138 -0.10087697  0.06682388]
  [-0.0349195  -0.11222386 -0.01447136]
  [ 0.08750066  0.09099288  0.05407803]]

 [[-0.10243728 -0.09072517 -0.09091914]
  [ 0.00621029 -0.09895114 -0.00104633]
  [-0.08503468 -0.08254718 -0.10689874]
  [ 0.07642408  0.09055318  0.07517463]]

 [[-0.08748366 -0.11576696 -0.09463824]
  [-0.08034434 -0.10449149 -0.0631966 ]
  [-0.11143515 -0.10214191 -0.09422684]
  [ 0.08006524  0.08578956  0.0787204 ]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adagrad,PairwiseCRot,iris,0,1,0.7390670613001243,0.76,0.64,"[[[ 0.1641114  -0.16936693  0.15461209]
  [ 0.17254011 -0.01601923  0.18963077]
  [ 0.17545301 -0.07820043  0.14860913]
  [ 0.02243916  0.20556824  0.01240494]]

 [[ 0.18116653 -0.15358257  0.11730156]
  [ 0.1672188   0.00041376  0.14696448]
  [ 0.09460628 -0.09641931  0.06120489]
  [ 0.0438746   0.21208118  0.13140681]]

 [[ 0.18576118 -0.17650712  0.17217727]
  [ 0.16219203 -0.05464473  0.13095498]
  [ 0.02649764 -0.13667525  0.02499467]
  [ 0.17198117  0.20632366  0.16715578]]

 [[ 0.19555839 -0.18488838  0.20290138]
  [ 0.13977134 -0.14958999  0.16682383]
  [ 0.06508049 -0.16650559  0.08552863]
  [ 0.18750043  0.13699421  0.15407791]]

 [[-0.0024373  -0.18019127  0.00908078]
  [ 0.10621019 -0.1727384   0.09895354]
  [ 0.01496527 -0.12167313 -0.0068991 ]
  [ 0.17642162  0.12861086  0.17517357]]

 [[ 0.01251592 -0.19111962  0.00536146]
  [ 0.01965443 -0.17659745  0.03680196]
  [-0.01143559 -0.07965139  0.00577173]
  [ 0.17999298  0.14880014  0.17871494]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adagrad,PairwiseCRot,iris,0,2,0.6739869237120699,0.8,0.56,"[[[ 0.16945656 -0.11167126  0.15620432]
  [ 0.1844522  -0.00517991  0.20123972]
  [ 0.20534858 -0.01989662  0.17500988]
  [ 0.04189342  0.19702177  0.0316555 ]]

 [[ 0.16538769 -0.16282351  0.09665848]
  [ 0.17656962 -0.01335798  0.15668325]
  [ 0.09111988 -0.13085021  0.04815877]
  [ 0.05983522  0.19450449  0.13846854]]

 [[ 0.15488009 -0.19332892  0.14204883]
  [ 0.16659872 -0.0627257   0.13650055]
  [-0.00549142 -0.18447518 -0.01051718]
  [ 0.17761662  0.22014233  0.15763765]]

 [[ 0.18734391 -0.17018403  0.2028312 ]
  [ 0.14210758 -0.13265146  0.17583661]
  [ 0.08005489 -0.16625002  0.10507435]
  [ 0.21184149  0.18272259  0.17697851]]

 [[ 0.02052019 -0.15310266  0.03687407]
  [ 0.11559288 -0.14156305  0.12136562]
  [ 0.06090249 -0.11065558  0.04120932]
  [ 0.18189519  0.13702457  0.18079433]]

 [[ 0.03783761 -0.15514106  0.04567988]
  [ 0.02823635 -0.13996062  0.05967406]
  [ 0.02194161 -0.07204263  0.05710463]
  [ 0.1901115   0.15935018  0.15056856]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adagrad,PairwiseCRot,iris,0,3,0.6859718486252666,0.8133333333333334,0.64,"[[[ 0.17073607 -0.0831506   0.15536573]
  [ 0.19570637  0.03373095  0.21229042]
  [ 0.21229873 -0.01513377  0.1816726 ]
  [ 0.08970753  0.18983076  0.08391265]]

 [[ 0.16094327 -0.1915692   0.08940291]
  [ 0.17741125 -0.03794454  0.15721315]
  [ 0.09597712 -0.16526238  0.0512647 ]
  [ 0.09961789  0.15517649  0.17552513]]

 [[ 0.15249265 -0.21608696  0.14389448]
  [ 0.15878919 -0.10079256  0.1310874 ]
  [ 0.01456175 -0.20092771  0.01553128]
  [ 0.2217104   0.18826526  0.16637959]]

 [[ 0.21323902 -0.16327607  0.23454206]
  [ 0.16159012 -0.10891681  0.21140912]
  [ 0.11148425 -0.15695472  0.13655497]
  [ 0.26461651  0.21868901  0.20613999]]

 [[ 0.0486106  -0.14908856  0.06626138]
  [ 0.13499345 -0.13354077  0.14588415]
  [ 0.08387252 -0.12707704  0.06082939]
  [ 0.22672436  0.15509616  0.21471929]]

 [[ 0.04707789 -0.15469258  0.05843127]
  [-0.0056189  -0.14926391  0.03051002]
  [ 0.03503146 -0.10658788  0.06476991]
  [ 0.12729171  0.15433747  0.14288038]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adagrad,PairwiseCRot,iris,0,4,0.7573596296215586,0.7866666666666666,0.64,"[[[ 0.12599286 -0.14925436  0.11671878]
  [ 0.17238717  0.03380778  0.18912445]
  [ 0.15312798 -0.0939787   0.12149128]
  [ 0.08182795  0.17369897  0.06137175]]

 [[ 0.15247772 -0.12484747  0.10647726]
  [ 0.14650149 -0.02532277  0.12425336]
  [ 0.0756407  -0.11104455  0.04984694]
  [ 0.0823693   0.2063087   0.15096185]]

 [[ 0.18676052 -0.13889417  0.18586473]
  [ 0.13721445 -0.07883277  0.10318894]
  [ 0.05391338 -0.13191099  0.04240787]
  [ 0.16386233  0.24914086  0.1323942 ]]

 [[ 0.20603501 -0.1409517   0.21281241]
  [ 0.16711769 -0.16943233  0.18640851]
  [ 0.08376257 -0.20185085  0.08256561]
  [ 0.20546849  0.16506576  0.17330549]]

 [[-0.0239904  -0.17158369 -0.00991659]
  [ 0.04184656 -0.21681971  0.05195243]
  [ 0.02490249 -0.19018047 -0.00218542]
  [ 0.18928225  0.11500816  0.17690109]]

 [[-0.03205295 -0.17612117 -0.02879678]
  [-0.1025301  -0.21458406 -0.06536943]
  [-0.00217467 -0.15800777  0.01891829]
  [ 0.18536974  0.17315748  0.16115993]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adagrad,PairwiseCRot,iris,0,5,0.6884006456670445,0.7866666666666666,0.6,"[[[ 0.12776962 -0.10999885  0.11506527]
  [ 0.19467609  0.07621957  0.2121918 ]
  [ 0.18363249 -0.05867702  0.14716642]
  [ 0.13046011  0.1825364   0.10601127]]

 [[ 0.13481424 -0.13572325  0.08473052]
  [ 0.15553364 -0.03352443  0.13256851]
  [ 0.07823332 -0.14871062  0.03719737]
  [ 0.1170505   0.20734591  0.17737314]]

 [[ 0.15703813 -0.15678329  0.15725855]
  [ 0.12408697 -0.12233394  0.08814336]
  [ 0.0280257  -0.18287716  0.0095142 ]
  [ 0.16039896  0.26560574  0.10957905]]

 [[ 0.20153795 -0.12903044  0.21707155]
  [ 0.1308669  -0.19041452  0.15807967]
  [ 0.10136139 -0.22274799  0.10226831]
  [ 0.22262007  0.21287338  0.19049607]]

 [[-0.00584738 -0.14047962  0.01285636]
  [ 0.022619   -0.21084354  0.04524823]
  [ 0.07126337 -0.19252693  0.04350805]
  [ 0.19948676  0.15160941  0.18371538]]

 [[-0.020031   -0.13586198 -0.00716743]
  [-0.12045266 -0.1995871  -0.07242181]
  [ 0.04409556 -0.15639945  0.06608791]
  [ 0.13935917  0.2148417   0.12964457]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adagrad,PairwiseCRot,iris,0,6,0.9846322974580864,0.5866666666666667,0.56,"[[[ 0.18936086 -0.16864807  0.18043582]
  [ 0.25455434  0.06517893  0.27057657]
  [ 0.23836235 -0.09810421  0.20693679]
  [ 0.1561293   0.21114992  0.13286003]]

 [[ 0.20966923 -0.17275122  0.16242402]
  [ 0.22827403 -0.00286979  0.2068375 ]
  [ 0.16011246 -0.11307522  0.1236587 ]
  [ 0.13784642  0.23737543  0.19661417]]

 [[ 0.2379729  -0.16397989  0.23980086]
  [ 0.21304427 -0.05473253  0.17871811]
  [ 0.11461971 -0.13881321  0.09748945]
  [ 0.17870036  0.31526547  0.12630086]]

 [[ 0.2894245  -0.16747425  0.30508181]
  [ 0.22774415 -0.17579876  0.25495565]
  [ 0.18441355 -0.21645802  0.17863459]
  [ 0.23843097  0.26405172  0.22183079]]

 [[ 0.07018459 -0.19699517  0.08748935]
  [ 0.11308637 -0.25556774  0.13239193]
  [ 0.13808254 -0.22259999  0.1050176 ]
  [ 0.22352881  0.13331488  0.22239902]]

 [[ 0.045397   -0.20268499  0.05928491]
  [-0.05491348 -0.26183073 -0.00818859]
  [ 0.11381537 -0.18347097  0.12083268]
  [ 0.08850941  0.17796743  0.15332594]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adagrad,PairwiseCRot,iris,0,7,0.8546041702284828,0.7466666666666667,0.56,"[[[ 0.17858903 -0.15904607  0.16611986]
  [ 0.2620572   0.02581003  0.27545805]
  [ 0.23114565 -0.10787443  0.20314044]
  [ 0.1287972   0.17671094  0.10145998]]

 [[ 0.18745688 -0.18449456  0.13681992]
  [ 0.2239089   0.05769142  0.20249858]
  [ 0.14601003 -0.07401041  0.10922099]
  [ 0.05196523  0.27627113  0.1098132 ]]

 [[ 0.21637121 -0.19432828  0.21923134]
  [ 0.21073603 -0.03997861  0.17530023]
  [ 0.10602954 -0.15301289  0.08360196]
  [ 0.09840516  0.25612827  0.06112022]]

 [[ 0.27104657 -0.17349996  0.29525471]
  [ 0.22800588 -0.21671059  0.26199036]
  [ 0.17875132 -0.24363517  0.17590268]
  [ 0.31754894  0.18850692  0.29913279]]

 [[ 0.07843257 -0.15759712  0.0985127 ]
  [ 0.1130731  -0.20651135  0.141966  ]
  [ 0.15074833 -0.20709612  0.11902785]
  [ 0.27929723  0.19692813  0.24421473]]

 [[ 0.07346174 -0.17032784  0.09072758]
  [-0.04608691 -0.21264677  0.01588127]
  [ 0.16606126 -0.17588405  0.17431783]
  [ 0.17396578  0.19084768  0.22435588]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adagrad,PairwiseCRot,iris,0,8,0.7479527372485196,0.7333333333333333,0.68,"[[[ 0.14070267 -0.19586882  0.13179951]
  [ 0.23311978  0.00726498  0.24609678]
  [ 0.20115328 -0.13959008  0.17628708]
  [ 0.1386744   0.17817945  0.10601633]]

 [[ 0.16269786 -0.15821129  0.12024719]
  [ 0.20060064  0.111488    0.17877612]
  [ 0.13778907 -0.0298399   0.10358949]
  [ 0.05362286  0.29645105  0.11050335]]

 [[ 0.20548309 -0.15964338  0.20847094]
  [ 0.18595835  0.01292442  0.14825277]
  [ 0.11172666 -0.11454254  0.08375328]
  [ 0.10168997  0.25524729  0.07152685]]

 [[ 0.24445414 -0.18083713  0.26465779]
  [ 0.18202619 -0.26494639  0.20546464]
  [ 0.15161833 -0.26950288  0.13547486]
  [ 0.34435609  0.18552855  0.32039422]]

 [[ 0.04205556 -0.15970876  0.06584788]
  [ 0.05663648 -0.20911579  0.08603695]
  [ 0.11853039 -0.21024273  0.08537552]
  [ 0.28853379  0.22202147  0.24626133]]

 [[ 0.05784402 -0.16468944  0.08962046]
  [-0.06465498 -0.17902225  0.00181765]
  [ 0.15174069 -0.17653949  0.15458249]
  [ 0.18955252  0.17810919  0.2581575 ]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adagrad,PairwiseCRot,iris,0,9,0.7802878581939422,0.76,0.64,"[[[ 0.17094939 -0.14699904  0.15327118]
  [ 0.27209494  0.00452566  0.28522684]
  [ 0.24036093 -0.09858359  0.20807414]
  [ 0.20576865  0.13895     0.17286078]]

 [[ 0.16357876 -0.18333538  0.11199755]
  [ 0.22891472  0.09525958  0.20577442]
  [ 0.1313599  -0.0681997   0.09512931]
  [ 0.09353424  0.25346923  0.14332931]]

 [[ 0.19390112 -0.20139812  0.197241  ]
  [ 0.2105664   0.00891383  0.17279885]
  [ 0.08648138 -0.1659031   0.05803882]
  [ 0.12656402  0.22828869  0.0934263 ]]

 [[ 0.25221843 -0.18411464  0.27912955]
  [ 0.21143399 -0.23207121  0.24271077]
  [ 0.15214746 -0.29551011  0.14532732]
  [ 0.38239763  0.17193909  0.35186987]]

 [[ 0.05863518 -0.14117377  0.08404248]
  [ 0.09235967 -0.17873801  0.12493334]
  [ 0.11053412 -0.21144451  0.081331  ]
  [ 0.348092    0.2263663   0.27905997]]

 [[ 0.06241163 -0.1502491   0.09661057]
  [-0.04407858 -0.16450941  0.02304416]
  [ 0.13205353 -0.17116669  0.12785911]
  [ 0.19683635  0.17789544  0.28807874]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
