optimizer,circuit,dataset,iteration,epoch,cost,train_acc,test_acc,trained_weights,untrained_weights,shape
adam,PairwiseCRot,iris,0,0,1.5531925816164176,0.5333333333333333,0.44,"[[[ 0.10848913 -0.11019973  0.09634893]
  [ 0.08885618 -0.10953201  0.10678229]
  [ 0.10412841 -0.08975024  0.08819548]
  [ 0.1138439  -0.09026007  0.10262492]]

 [[ 0.11290796 -0.08439585  0.10617805]
  [ 0.091514   -0.08758541  0.0821035 ]
  [ 0.10929554 -0.08864475  0.10092001]
  [ 0.10586787 -0.08279089  0.10137351]]

 [[-0.10441443 -0.09661305 -0.11759257]
  [-0.09151118 -0.11342651 -0.12382984]
  [-0.10964847 -0.10578125 -0.09714713]
  [ 0.08407567 -0.08317416 -0.1054785 ]]

 [[-0.09370455 -0.09586646 -0.0864424 ]
  [-0.11055161 -0.10087697 -0.08086878]
  [-0.08518754 -0.11222385 -0.09683452]
  [ 0.10981935 -0.10900427  0.08882828]]

 [[-0.10945028 -0.09072516 -0.09362238]
  [-0.08614952 -0.09895113 -0.08504702]
  [-0.10265238 -0.08254718 -0.10945974]
  [-0.11429917 -0.10944548 -0.11218183]]

 [[-0.08898401 -0.11576696 -0.10403518]
  [-0.09548719 -0.10449148 -0.09047195]
  [-0.1208331  -0.10214191 -0.10600302]
  [ 0.10085214 -0.11420861  0.10847567]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adam,PairwiseCRot,iris,0,1,0.8518847948485083,0.7066666666666667,0.72,"[[[ 0.18286006 -0.130187    0.17073848]
  [ 0.16323687 -0.10307961  0.181168  ]
  [ 0.17856923 -0.11582536  0.1626308 ]
  [ 0.18810373 -0.01854819  0.17688416]]

 [[ 0.18729543 -0.13648886  0.18049148]
  [ 0.16631838 -0.12671541  0.00804428]
  [ 0.18374522 -0.14460247  0.17533137]
  [ 0.18017616 -0.16743312  0.1756399 ]]

 [[-0.03072142 -0.14608599 -0.1931467 ]
  [-0.16611615 -0.1626418  -0.19826444]
  [-0.18441938 -0.15536511 -0.17161659]
  [ 0.15832442 -0.17574352 -0.03123372]]

 [[-0.16800722 -0.11599851 -0.16073911]
  [-0.18489613 -0.12488534 -0.15521209]
  [-0.15949138 -0.13488691 -0.17108103]
  [ 0.03559873 -0.03797187  0.01464118]]

 [[-0.18386949 -0.10859953 -0.16812052]
  [-0.16057981 -0.14325814 -0.15951007]
  [-0.17698843 -0.10938916 -0.18402731]
  [-0.18856234 -0.04221896 -0.18644251]]

 [[-0.1637593  -0.14959977 -0.17869351]
  [-0.17101694 -0.1775969  -0.16627474]
  [-0.19536137 -0.15008199 -0.18065497]
  [ 0.02661961 -0.20368203  0.03423901]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adam,PairwiseCRot,iris,0,2,0.9116221094070078,0.6266666666666667,0.72,"[[[ 0.23928523 -0.14054269  0.22630116]
  [ 0.22809832 -0.09450979  0.2469569 ]
  [ 0.24972566 -0.13283427  0.23245211]
  [ 0.27373733  0.06378226  0.26238826]]

 [[ 0.23158018 -0.17772042  0.21750193]
  [ 0.17037431 -0.15701308 -0.07228727]
  [ 0.26267962 -0.1928134   0.2524474 ]
  [ 0.24957166 -0.24601559  0.22526285]]

 [[-0.0453927  -0.18626774 -0.27329679]
  [-0.2367308  -0.20358009 -0.26830994]
  [-0.26976723 -0.19285531 -0.25581907]
  [ 0.24363871 -0.24096587  0.05450349]]

 [[-0.24458554 -0.13057491 -0.2360698 ]
  [-0.25297429 -0.14402897 -0.22606098]
  [-0.23221571 -0.14548518 -0.242306  ]
  [-0.0486475  -0.03823496 -0.07085144]]

 [[-0.26422246 -0.11910846 -0.24852712]
  [-0.23936394 -0.17265111 -0.24093113]
  [-0.24333808 -0.1269082  -0.24881658]
  [-0.27424209  0.03976922 -0.27192607]]

 [[-0.24655556 -0.17630642 -0.26261614]
  [-0.25738093 -0.23492304 -0.25243509]
  [-0.26264946 -0.19194131 -0.24864205]
  [-0.05882622 -0.29569986 -0.05144653]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adam,PairwiseCRot,iris,0,3,0.9990992734618929,0.6,0.72,"[[[ 0.28699057 -0.13875704  0.27553306]
  [ 0.30557393 -0.08241289  0.32379945]
  [ 0.31519436 -0.14512418  0.30308118]
  [ 0.32803905  0.14820447  0.31523113]]

 [[ 0.27274765 -0.20550173  0.24355878]
  [ 0.22794979 -0.1822783  -0.02502599]
  [ 0.34822012 -0.22028065  0.33742629]
  [ 0.24871975 -0.23447527  0.23000994]]

 [[-0.07053837 -0.2070953  -0.36057633]
  [-0.28088831 -0.23024656 -0.33208014]
  [-0.35920617 -0.20519947 -0.34568047]
  [ 0.33362519 -0.22373317  0.13958089]]

 [[-0.31497737 -0.1324282  -0.30082328]
  [-0.31732682 -0.16398724 -0.28782893]
  [-0.30690181 -0.14619746 -0.30886818]
  [-0.04138153  0.00876413 -0.0605861 ]]

 [[-0.3200809  -0.13188917 -0.30072554]
  [-0.2826251  -0.20740465 -0.29816683]
  [-0.29780801 -0.1473927  -0.29577361]
  [-0.28696901  0.06282086 -0.28048032]]

 [[-0.30204413 -0.20079549 -0.31586794]
  [-0.32350124 -0.27680143 -0.33791626]
  [-0.30519269 -0.23039307 -0.28904486]
  [-0.14071669 -0.25030519 -0.12715603]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adam,PairwiseCRot,iris,0,4,0.8996499236744459,0.6266666666666667,0.76,"[[[ 0.31390357 -0.13898238  0.31078027]
  [ 0.37790817 -0.08089616  0.39862698]
  [ 0.29705132 -0.18020716  0.28841231]
  [ 0.2932025   0.23497959  0.27963014]]

 [[ 0.31400652 -0.20654163  0.28172633]
  [ 0.3002677  -0.21047609  0.04161718]
  [ 0.35057905 -0.25884808  0.33914952]
  [ 0.19537469 -0.23450926  0.17729348]]

 [[-0.1286288  -0.20890509 -0.44081389]
  [-0.34611545 -0.24067078 -0.406779  ]
  [-0.42845012 -0.21813064 -0.43574193]
  [ 0.30485301 -0.18862827  0.11394369]]

 [[-0.37914013 -0.15210399 -0.35388869]
  [-0.38988347 -0.20420398 -0.34030074]
  [-0.336816   -0.18278537 -0.34372011]
  [ 0.00899212 -0.02157872 -0.01051442]]

 [[-0.38030267 -0.14473024 -0.36248786]
  [-0.3453791  -0.21872727 -0.37051217]
  [-0.36529481 -0.13495828 -0.36228315]
  [-0.3161555   0.10192185 -0.30714354]]

 [[-0.36726146 -0.22693256 -0.38284267]
  [-0.39699405 -0.33810556 -0.3275936 ]
  [-0.33071647 -0.28040642 -0.28418974]
  [-0.14133517 -0.2124903  -0.19285346]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adam,PairwiseCRot,iris,0,5,0.851666227578857,0.6933333333333334,0.8,"[[[ 0.34864386 -0.14243669  0.34798687]
  [ 0.41825173 -0.08107702  0.44521981]
  [ 0.30226795 -0.20266382  0.29407172]
  [ 0.28650267  0.32599569  0.27240396]]

 [[ 0.33586806 -0.23571294  0.29045297]
  [ 0.28847518 -0.24212301  0.02200603]
  [ 0.34474971 -0.31802566  0.33223616]
  [ 0.12629176 -0.22336444  0.10990711]]

 [[-0.17051277 -0.23594137 -0.48041403]
  [-0.41257408 -0.27461655 -0.47698785]
  [-0.42856246 -0.25628227 -0.44595237]
  [ 0.32504338 -0.16319391  0.13872671]]

 [[-0.45246744 -0.15798931 -0.42129756]
  [-0.46762447 -0.21691859 -0.40682213]
  [-0.37674265 -0.19021913 -0.39253699]
  [ 0.07521599  0.00171865  0.05465176]]

 [[-0.44841039 -0.15488736 -0.42843667]
  [-0.41957986 -0.24056271 -0.45146392]
  [-0.41339168 -0.13036193 -0.39887844]
  [-0.29519205  0.1021202  -0.28488557]]

 [[-0.44154216 -0.26163641 -0.46030797]
  [-0.47401038 -0.36821911 -0.37310578]
  [-0.36582475 -0.33109984 -0.28882901]
  [-0.18087154 -0.16068228 -0.26392311]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adam,PairwiseCRot,iris,0,6,0.9287777650475288,0.6933333333333334,0.76,"[[[ 0.38747362 -0.14707508  0.38644061]
  [ 0.47461106 -0.07001358  0.5060557 ]
  [ 0.31931081 -0.23367419  0.31046897]
  [ 0.31315315  0.40497765  0.29820501]]

 [[ 0.35490299 -0.2676437   0.30224778]
  [ 0.28645308 -0.26689051  0.01015444]
  [ 0.35610116 -0.38010973  0.35390422]
  [ 0.12894612 -0.20806229  0.10609341]]

 [[-0.18647574 -0.26818098 -0.49596607]
  [-0.48111451 -0.30357351 -0.54825899]
  [-0.40609898 -0.29787978 -0.43018653]
  [ 0.36437956 -0.14587863  0.17728075]]

 [[-0.51665802 -0.15848832 -0.48460094]
  [-0.54762776 -0.20935582 -0.4748122 ]
  [-0.40060046 -0.18625984 -0.42335254]
  [ 0.13142943  0.04411807  0.11013704]]

 [[-0.50372646 -0.16572563 -0.47807318]
  [-0.48787606 -0.26468434 -0.52346392]
  [-0.44004486 -0.12667868 -0.4161245 ]
  [-0.27630251  0.12962638 -0.26713339]]

 [[-0.49964348 -0.29613511 -0.53108145]
  [-0.53783891 -0.39762829 -0.40808422]
  [-0.38036883 -0.38073815 -0.27698467]
  [-0.2234188  -0.11345964 -0.33608177]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adam,PairwiseCRot,iris,0,7,0.8314410829481811,0.8933333333333333,0.84,"[[[ 0.43530019 -0.15404862  0.43759966]
  [ 0.5416141  -0.07163669  0.57632846]
  [ 0.33716459 -0.26847079  0.33058408]
  [ 0.34164585  0.4774454   0.33078922]]

 [[ 0.40318604 -0.28604368  0.34634888]
  [ 0.31031252 -0.30243564  0.02245209]
  [ 0.3879305  -0.43612542  0.39180991]
  [ 0.14155546 -0.22636807  0.11211633]]

 [[-0.17074315 -0.28755847 -0.48771236]
  [-0.53056149 -0.33568331 -0.5963087 ]
  [-0.38248948 -0.32676406 -0.4102665 ]
  [ 0.41205402 -0.13853931  0.23143525]]

 [[-0.52321219 -0.15377186 -0.49570905]
  [-0.58238481 -0.2247658  -0.51547313]
  [-0.39274434 -0.18759815 -0.43406763]
  [ 0.20080003  0.06029308  0.17868065]]

 [[-0.52762824 -0.16949183 -0.49666238]
  [-0.54352693 -0.27857602 -0.53888092]
  [-0.43974001 -0.1248448  -0.41225016]
  [-0.23404743  0.15571197 -0.22381624]]

 [[-0.51592342 -0.32258057 -0.57057858]
  [-0.57840825 -0.43311061 -0.41346617]
  [-0.3543115  -0.4312223  -0.23682635]
  [-0.22039135 -0.10730015 -0.30483493]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adam,PairwiseCRot,iris,0,8,0.8454835532743599,0.7066666666666667,0.64,"[[[ 0.49063913 -0.16108792  0.49715677]
  [ 0.60546941 -0.0609038   0.64296505]
  [ 0.35782812 -0.29712171  0.34896979]
  [ 0.37659017  0.54959554  0.37441289]]

 [[ 0.46112541 -0.30000333  0.40012554]
  [ 0.33484576 -0.35835642  0.03752761]
  [ 0.40286695 -0.50021066  0.39969898]
  [ 0.13888211 -0.27403301  0.10300314]]

 [[-0.14888962 -0.30497769 -0.47165123]
  [-0.5046173  -0.38784992 -0.57568712]
  [-0.35923419 -0.3550526  -0.4032608 ]
  [ 0.43898896 -0.16553362  0.26149772]]

 [[-0.55466283 -0.14860468 -0.52867433]
  [-0.61755032 -0.23687799 -0.55426062]
  [-0.41230037 -0.2054013  -0.46986007]
  [ 0.20882491  0.03528133  0.18674333]]

 [[-0.57077948 -0.17616136 -0.53814939]
  [-0.60953534 -0.29624701 -0.55277256]
  [-0.46889831 -0.12909346 -0.43472297]
  [-0.23232832  0.12463307 -0.21190181]]

 [[-0.55490897 -0.35330765 -0.62999113]
  [-0.63278194 -0.46152337 -0.43258873]
  [-0.35774721 -0.48045272 -0.19899985]
  [-0.22399327 -0.12338469 -0.28061602]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
adam,PairwiseCRot,iris,0,9,0.9285562934200423,0.4666666666666667,0.64,"[[[ 0.54423224 -0.17011888  0.55699874]
  [ 0.65437802 -0.05746727  0.68964375]
  [ 0.38702434 -0.33637793  0.37244092]
  [ 0.42158835  0.61821025  0.42830117]]

 [[ 0.52908368 -0.30209594  0.46547351]
  [ 0.35253824 -0.38865549  0.04963193]
  [ 0.43631644 -0.56115143  0.4355356 ]
  [ 0.15542508 -0.31931724  0.12121998]]

 [[-0.105604   -0.30609082 -0.43723004]
  [-0.47229184 -0.41733845 -0.54946954]
  [-0.32412352 -0.36980884 -0.38363311]
  [ 0.48319253 -0.17584673  0.3115035 ]]

 [[-0.55201438 -0.14433653 -0.52886714]
  [-0.63590347 -0.25299206 -0.58715704]
  [-0.42338572 -0.22616827 -0.49019082]
  [ 0.24069918 -0.00193473  0.21834597]]

 [[-0.58872445 -0.17734059 -0.55481026]
  [-0.67992567 -0.28011394 -0.5585371 ]
  [-0.48449652 -0.14190729 -0.44413475]
  [-0.21493615  0.12984956 -0.18907135]]

 [[-0.56893308 -0.37750834 -0.66529456]
  [-0.67389907 -0.48584387 -0.45889239]
  [-0.34833483 -0.52362887 -0.1594347 ]
  [-0.22246512 -0.1121211  -0.25530303]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
