optimizer,circuit,dataset,iteration,epoch,cost,train_acc,test_acc,trained_weights,untrained_weights,shape
nm,PairwiseCRot,iris,0,0,1.146693167793182,0.5466666666666666,0.52,"[[[ 0.00842926  0.03479394 -0.00371737]
  [-0.01112062  0.00609345  0.00680758]
  [ 0.00411298  0.02117151 -0.01181737]
  [ 0.01428962  0.02105361  0.00308259]]

 [[ 0.01288192  0.06064522  0.00618902]
  [-0.00843374  0.02824293 -0.01754138]
  [ 0.00929927  0.02168421  0.0009417 ]
  [ 0.00629506  0.02890428  0.00232467]]

 [[-0.00435922  0.04835554 -0.01753347]
  [ 0.0084908   0.00253995 -0.02383775]
  [-0.00967113  0.00446176  0.0028342 ]
  [-0.0101747   0.02839333 -0.01838096]]

 [[ 0.00631816  0.04897776  0.01357984]
  [-0.01057302  0.01491494  0.01911225]
  [ 0.01477742 -0.00230862 -0.00095878]
  [ 0.01088221  0.00237269 -0.0106385 ]]

 [[-0.00940327  0.0540635   0.00643231]
  [ 0.01383883  0.01670788  0.01494387]
  [-0.00266935  0.02738222 -0.00944664]
  [-0.01476636  0.00232418 -0.01288557]]

 [[ 0.01107193  0.02928108 -0.00401082]
  [ 0.00451546  0.01145328  0.00952293]
  [-0.02083855  0.00823365 -0.00601108]
  [ 0.00224833 -0.00262987  0.01302132]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
nm,PairwiseCRot,iris,0,1,1.4951144594782486,0.5733333333333334,0.56,"[[[ 0.01829771 -0.05391529  0.00636151]
  [-0.01039586 -0.05312908  0.00755375]
  [ 0.00845743 -0.05499494 -0.00747946]
  [ 0.01350948  0.01315164  0.00224612]]

 [[ 0.02296441 -0.02762359  0.01608794]
  [-0.00682964 -0.0312458  -0.0159783 ]
  [ 0.01381027 -0.05041019  0.00540499]
  [ 0.00578225  0.01865903  0.00177027]]

 [[ 0.00461118 -0.04096242 -0.00882704]
  [ 0.01028463 -0.05594579 -0.0220734 ]
  [-0.00577673 -0.06289292  0.00671817]
  [-0.01034768  0.01671377 -0.01855577]]

 [[ 0.0152348  -0.04101588  0.02208581]
  [-0.00821381 -0.04128818  0.02146257]
  [ 0.01852741 -0.0636869   0.00275781]
  [ 0.01115467 -0.01064003 -0.01038307]]

 [[-0.00278033 -0.03697042  0.01192772]
  [ 0.01583839 -0.03656097  0.01677167]
  [-0.00019595 -0.02764037 -0.00725201]
  [-0.0144386  -0.01272019 -0.012581  ]]

 [[ 0.01381454 -0.0642508  -0.00249725]
  [ 0.00534047 -0.04014228  0.01015892]
  [-0.02009083 -0.04127126 -0.00539596]
  [ 0.00241865 -0.01935887  0.01317475]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
nm,PairwiseCRot,iris,0,2,1.5407492716207454,0.52,0.52,"[[[ 0.05517432 -0.06517794  0.04563269]
  [ 0.00572762 -0.10083886  0.02426646]
  [ 0.02421161 -0.09577346  0.00847758]
  [ 0.02273228  0.026951    0.01142391]]

 [[ 0.0657131  -0.03852643  0.05853489]
  [ 0.00777284 -0.07968807 -0.00152271]
  [ 0.03330707 -0.08512326  0.02469528]
  [ 0.01348716  0.02774281  0.00946738]]

 [[ 0.04552947 -0.05362249  0.02987234]
  [ 0.02036283 -0.10526798 -0.01255596]
  [ 0.01466516 -0.09061649  0.02633916]
  [-0.00484705  0.02050686 -0.01303153]]

 [[ 0.05014505 -0.05538078  0.05310016]
  [-0.00271668 -0.09132283  0.02651549]
  [ 0.03724382 -0.0850618   0.01990073]
  [ 0.01458081 -0.01301044 -0.00705676]]

 [[ 0.0211989  -0.05333735  0.03056073]
  [ 0.01825146 -0.0872147   0.01882704]
  [ 0.01275053 -0.04283322  0.00408764]
  [-0.01287065 -0.02127937 -0.01109843]]

 [[ 0.02446722 -0.08243705  0.00130902]
  [ 0.00611181 -0.09134359  0.01070682]
  [-0.01498537 -0.05113819 -0.00200197]
  [ 0.00281768 -0.03424244  0.01352284]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
nm,PairwiseCRot,iris,0,3,0.8267583439420868,0.6933333333333334,0.56,"[[[ 0.12335398 -0.04659397  0.11692989]
  [ 0.03582928 -0.13088359  0.05617089]
  [ 0.05050582 -0.11505798  0.03684673]
  [ 0.04889845  0.06476325  0.03750718]]

 [[ 0.14293503 -0.01827044  0.13474202]
  [ 0.03486458 -0.11437028  0.02510535]
  [ 0.06940986 -0.09695334  0.06066729]
  [ 0.0328174   0.05202084  0.02907337]]

 [[ 0.11487487 -0.04464871  0.09487312]
  [ 0.03753938 -0.1467363   0.00302735]
  [ 0.05119953 -0.10021065  0.06077444]
  [ 0.00737825  0.03089925 -0.00056062]]

 [[ 0.10290328 -0.06102336  0.09933659]
  [ 0.00477855 -0.1371487   0.03281538]
  [ 0.06765548 -0.09673306  0.04694529]
  [ 0.02108777 -0.01431987 -0.00074329]]

 [[ 0.05478844 -0.07193834  0.05646582]
  [ 0.02090282 -0.13542177  0.02077276]
  [ 0.03226207 -0.05508303  0.02102725]
  [-0.01034977 -0.03084453 -0.00874642]]

 [[ 0.03914677 -0.10721201  0.00615174]
  [ 0.00702314 -0.14076732  0.01120485]
  [-0.00751853 -0.06077927  0.00282418]
  [ 0.00324396 -0.0498681   0.01392328]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
nm,PairwiseCRot,iris,0,4,0.9859169845171938,0.68,0.48,"[[[ 0.1661669   0.04330357  0.16208827]
  [ 0.04553549 -0.17439327  0.06808438]
  [ 0.05798256 -0.15006166  0.04689141]
  [ 0.07072108  0.07135793  0.05830721]]

 [[ 0.18934312  0.03405227  0.18023502]
  [ 0.04718771 -0.15473543  0.03879509]
  [ 0.08691552 -0.12377102  0.07754786]
  [ 0.04937413  0.06142914  0.04450984]]

 [[ 0.15105102 -0.04485131  0.12552994]
  [ 0.04397365 -0.18839757  0.00896427]
  [ 0.0679808  -0.1339707   0.07512128]
  [ 0.01735967  0.03848358  0.00909121]]

 [[ 0.11683469 -0.10035537  0.10608675]
  [-0.0019438  -0.19204537  0.02590989]
  [ 0.08066702 -0.12867981  0.05766434]
  [ 0.02404015 -0.01910164  0.00216059]]

 [[ 0.05098662 -0.12841915  0.04688365]
  [ 0.00689409 -0.19220038  0.00936951]
  [ 0.0427328  -0.07306336  0.02975584]
  [-0.01375206 -0.0461615  -0.0118531 ]]

 [[ 0.03462668 -0.16328731 -0.00274041]
  [-0.00119334 -0.19119026  0.00702947]
  [-0.00198563 -0.06747805  0.00608258]
  [ 0.00041705 -0.07012318  0.01234213]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
nm,PairwiseCRot,iris,0,5,1.0582556587471308,0.64,0.56,"[[[ 0.20944405 -0.00848818  0.20395447]
  [ 0.0757213  -0.20133914  0.09970281]
  [ 0.06577591 -0.27954375  0.05185363]
  [ 0.08569131  0.07520001  0.07164421]]

 [[ 0.23469632 -0.03759438  0.214729  ]
  [ 0.08023766 -0.19485517  0.07359096]
  [ 0.10229532 -0.2417719   0.09766985]
  [ 0.05664271  0.07233878  0.0505478 ]]

 [[ 0.20270294 -0.05818335  0.18074349]
  [ 0.06326395 -0.22513889  0.03472206]
  [ 0.08480553 -0.19696377  0.10346641]
  [ 0.01533507  0.0497474   0.00683465]]

 [[ 0.21673775 -0.0453821   0.21857917]
  [ 0.02414579 -0.20547096  0.06138431]
  [ 0.12917176 -0.11545472  0.11386131]
  [ 0.01871204 -0.0119046  -0.00324343]]

 [[ 0.18464905 -0.06236722  0.17694097]
  [ 0.05078862 -0.1893472   0.05313596]
  [ 0.10845914 -0.02721875  0.09290167]
  [-0.0109545  -0.03905328 -0.00942836]]

 [[ 0.1092347  -0.11383259  0.04870985]
  [ 0.02062106 -0.19001708  0.02209679]
  [ 0.02388138 -0.01591643  0.02622021]
  [ 0.00500709 -0.05839089  0.01524245]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
nm,PairwiseCRot,iris,0,6,0.9293694363267536,0.64,0.44,"[[[ 0.38052388  0.12875362  0.35926366]
  [ 0.12398049 -0.19554567  0.13968292]
  [ 0.15133415 -0.31053755  0.09847073]
  [ 0.08570274  0.07987404  0.06895709]]

 [[ 0.26399671 -0.20215661  0.20802964]
  [ 0.09024713 -0.26659441  0.08431801]
  [ 0.13644863 -0.3845998   0.10591019]
  [ 0.05628752  0.07450022  0.04609606]]

 [[ 0.20088834 -0.25807349  0.17953765]
  [ 0.05637427 -0.29712758  0.04421196]
  [ 0.09695563 -0.30657444  0.13077963]
  [ 0.01449003  0.07937597  0.00350037]]

 [[ 0.29699998 -0.05267415  0.30992243]
  [ 0.03853089 -0.20242901  0.09135102]
  [ 0.17985471 -0.08276823  0.17315488]
  [ 0.0086711   0.01812677 -0.01342997]]

 [[ 0.29656063 -0.01613762  0.28558696]
  [ 0.08514179 -0.19348641  0.08794876]
  [ 0.16916423  0.01728284  0.1514659 ]
  [-0.0123882  -0.03953015 -0.0109751 ]]

 [[ 0.17072861 -0.09969789  0.08955752]
  [ 0.0344564  -0.19975246  0.03383152]
  [ 0.04692786  0.03654636  0.04442829]
  [ 0.00870402 -0.0315256   0.01756645]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
nm,PairwiseCRot,iris,0,7,0.75383251196323,0.7466666666666667,0.6,"[[[ 0.54324844  0.17313     0.49356902]
  [ 0.18168322 -0.22962667  0.19216866]
  [ 0.25051575 -0.39618523  0.16405251]
  [ 0.0808084   0.07955416  0.06216664]]

 [[ 0.3237967  -0.2781435   0.26869464]
  [ 0.1201159  -0.30472569  0.12055356]
  [ 0.2211501  -0.49665641  0.19837929]
  [ 0.06229339  0.11137607  0.04810745]]

 [[ 0.28323304 -0.36459303  0.20683174]
  [ 0.07180191 -0.35855189  0.05854981]
  [ 0.1578466  -0.38397473  0.19235804]
  [ 0.01141994  0.1146952   0.00054945]]

 [[ 0.34798854 -0.12418434  0.36305276]
  [ 0.04161912 -0.24061811  0.10441584]
  [ 0.22730864 -0.08266591  0.22737938]
  [-0.01005744  0.03717079 -0.03272946]]

 [[ 0.36892359 -0.053016    0.35402553]
  [ 0.09935659 -0.23308997  0.10865456]
  [ 0.22440197  0.02704387  0.20384253]
  [-0.02023312 -0.05048451 -0.01776456]]

 [[ 0.20944991 -0.05865412  0.11672926]
  [ 0.03748884 -0.20620695  0.04171704]
  [ 0.06799443  0.08207126  0.05886634]
  [ 0.01041019  0.01507103  0.0182494 ]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
nm,PairwiseCRot,iris,0,8,0.7097845742069337,0.7733333333333333,0.64,"[[[ 0.6694285   0.21340066  0.59124702]
  [ 0.20915655 -0.25928578  0.2166669 ]
  [ 0.32644642 -0.47943995  0.20767266]
  [ 0.07267917  0.08527449  0.05258769]]

 [[ 0.36279855 -0.35328486  0.31438724]
  [ 0.13688128 -0.35884903  0.14185661]
  [ 0.29808445 -0.60371395  0.29282117]
  [ 0.06793526  0.13920648  0.05000862]]

 [[ 0.35812213 -0.45391709  0.23384418]
  [ 0.08052967 -0.41401029  0.06872481]
  [ 0.21972006 -0.4442018   0.25448361]
  [ 0.0125167   0.15463235  0.00210303]]

 [[ 0.39775202 -0.19880863  0.4103098 ]
  [ 0.0445726  -0.27919481  0.11463853]
  [ 0.27082344 -0.08176107  0.27673214]
  [-0.02612413  0.05291133 -0.04942265]]

 [[ 0.43177289 -0.12038452  0.41348586]
  [ 0.10935963 -0.28084531  0.12548612]
  [ 0.2738519   0.03012448  0.25062374]
  [-0.02559256 -0.0590076  -0.0228377 ]]

 [[ 0.2420517  -0.02692303  0.13954773]
  [ 0.03870682 -0.20498841  0.0498436 ]
  [ 0.0880057   0.12525189  0.07164234]
  [ 0.0120328   0.04863743  0.01873506]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
nm,PairwiseCRot,iris,0,9,0.7120059252878451,0.76,0.6,"[[[ 0.75995476  0.25744057  0.64929462]
  [ 0.19432353 -0.29204548  0.20377166]
  [ 0.36441435 -0.54498712  0.21312236]
  [ 0.05469948  0.09843944  0.03466102]]

 [[ 0.38030192 -0.42123636  0.34524705]
  [ 0.1281101  -0.41465304  0.13523962]
  [ 0.3583489  -0.70188913  0.36790516]
  [ 0.05680554  0.15476899  0.03781249]]

 [[ 0.41145197 -0.52937535  0.25157207]
  [ 0.07210558 -0.45242442  0.07324392]
  [ 0.26651627 -0.47979543  0.31205538]
  [ 0.01153232  0.1881941   0.003107  ]]

 [[ 0.43745918 -0.28986475  0.43838997]
  [ 0.04871886 -0.31578676  0.1211266 ]
  [ 0.30409591 -0.0854705   0.31473638]
  [-0.03705069  0.07294799 -0.06109083]]

 [[ 0.47873865 -0.19387152  0.46080503]
  [ 0.11444805 -0.31508297  0.14317402]
  [ 0.3204295   0.04693647  0.29439393]
  [-0.02958552 -0.07229056 -0.0264891 ]]

 [[ 0.27387505  0.00503704  0.1626125 ]
  [ 0.04099337 -0.19479268  0.05384264]
  [ 0.10324417  0.17165368  0.08359182]
  [ 0.01390877  0.08288558  0.01914413]]]","[[[ 0.00849486 -0.01019973 -0.00364572]
  [-0.01111484 -0.00953202  0.00681297]
  [ 0.00413874  0.01024975 -0.01179325]
  [ 0.01431384  0.00973708  0.00310504]]

 [[ 0.01291634  0.01560415  0.00620009]
  [-0.00843354  0.01241457 -0.01754761]
  [ 0.00931419  0.01135524  0.00095057]
  [ 0.00630396  0.01720774  0.00232202]]

 [[-0.00442927  0.00338694 -0.0176056 ]
  [ 0.00846228 -0.01342653 -0.02386237]
  [-0.00968328 -0.00578126  0.00282228]
  [-0.01018898  0.01682403 -0.01839745]]

 [[ 0.00626645  0.00413353  0.01352949]
  [-0.01059316 -0.00087698  0.01909178]
  [ 0.01476613 -0.01222386 -0.00096654]
  [ 0.01087083 -0.00900709 -0.01064588]]

 [[-0.00945734  0.00927483  0.00637246]
  [ 0.01382029  0.00104885  0.01492479]
  [-0.00267874  0.01745281 -0.00946764]
  [-0.01479    -0.00944678 -0.01290517]]

 [[ 0.01101152 -0.01576696 -0.00404547]
  [ 0.00449613 -0.0044915   0.00950636]
  [-0.02084968 -0.00214192 -0.00602147]
  [ 0.00223633 -0.0142104   0.0130128 ]]]","(100, 4)"
