optimizer,circuit,dataset,iteration,epoch,cost,train_acc,test_acc,trained_weights,untrained_weights,shape
nm,StronglyEntangled,iris,0,0,0.5219237002965212,0.8,0.92,"[[[ 0.0009714  -0.01430845 -0.00099195]
  [ 0.00051486 -0.00299243 -0.00817636]
  [ 0.01240356  0.08483612 -0.00554667]
  [-0.02222049  0.04730752  0.00119934]]

 [[ 0.01881122  0.0077241   0.01195152]
  [-0.01109389 -0.01541638  0.00199383]
  [ 0.01197263 -0.10920238 -0.00262099]
  [ 0.00110782 -0.00846326  0.00070473]]

 [[-0.00132974  0.00402241  0.00373631]
  [ 0.00420178 -0.01405138  0.01285066]
  [ 0.00302944  0.00491969  0.00744219]
  [ 0.00282141  0.0587786   0.00798181]]

 [[-0.01413388 -0.00125327 -0.00301397]
  [-0.01967721  0.00978502  0.00917944]
  [ 0.00614839  0.00499162 -0.00024223]
  [-0.00478116  0.00740195  0.00096306]]

 [[ 0.0115596   0.00435179  0.00056932]
  [-0.00122237  0.08511847 -0.00883096]
  [-0.00454993 -0.05923377  0.01678561]
  [-0.00306255  0.03331922 -0.00241003]]

 [[-0.00279814 -0.02433754  0.0110113 ]
  [-0.00105281 -0.01475754 -0.00472289]
  [-0.01119943 -0.00697631  0.0070478 ]
  [ 0.00089381  0.01003141 -0.00293797]]]","[[[ 0.00100502 -0.00662353 -0.00095017]
  [ 0.00049526 -0.00214219 -0.00819332]
  [ 0.0124021   0.002063   -0.00555104]
  [-0.02230282 -0.0006393   0.00111637]]

 [[ 0.0188018   0.01050063  0.01194177]
  [-0.0111029  -0.01501931  0.00198556]
  [ 0.01197301 -0.0045914  -0.00263596]
  [ 0.00105604 -0.00180077  0.00065569]]

 [[-0.00139176 -0.01820108  0.0036985 ]
  [ 0.00418236 -0.01264891  0.01284845]
  [ 0.00301877  0.0050059   0.00743543]
  [ 0.00281304  0.00938707  0.00797619]]

 [[-0.01415855 -0.0015054  -0.00303655]
  [-0.01969007  0.00576865  0.00917203]
  [ 0.00619123  0.00662666 -0.0001976 ]
  [-0.00483278  0.00628319  0.0009113 ]]

 [[ 0.01151816  0.00432207  0.00053022]
  [-0.00115625  0.00244792 -0.00876523]
  [-0.00456654  0.00017157  0.01676902]
  [-0.00300467 -0.00182078 -0.0023506 ]]

 [[-0.00279789  0.01190291  0.01100736]
  [-0.00106662 -0.0091556  -0.00472439]
  [-0.01120824 -0.00895606  0.00702164]
  [ 0.00089625  0.00434174 -0.00293498]]]","(100, 4)"
nm,StronglyEntangled,iris,0,1,0.4222295404292439,0.96,0.88,"[[[ 0.00099295 -0.00738219 -0.00098161]
  [ 0.00052971 -0.00742014 -0.00816429]
  [ 0.01230873  0.15885518 -0.00556137]
  [-0.02179345  0.09061432  0.00161035]]

 [[ 0.01873465  0.00332107  0.01187452]
  [-0.01085655 -0.01575889  0.00222573]
  [ 0.01171722 -0.21440976 -0.00271571]
  [ 0.00110235 -0.00907951  0.00068911]]

 [[-0.00123913  0.00163079  0.00382136]
  [ 0.00382613 -0.01019894  0.01245006]
  [ 0.00314019  0.00788019  0.00754507]
  [ 0.00282269  0.0963154   0.00796346]]

 [[-0.01395394  0.00338652 -0.00283611]
  [-0.01934029  0.02307318  0.00950334]
  [ 0.00590259  0.004524   -0.00049159]
  [-0.00474159  0.01193102  0.00100281]]

 [[ 0.01139286  0.00861207  0.00039915]
  [-0.00114119  0.20208847 -0.00877182]
  [-0.00450714 -0.11098611  0.01677024]
  [-0.00323254  0.0399424  -0.00254159]]

 [[-0.00279957 -0.07207056  0.01102122]
  [-0.00103687 -0.0108524  -0.00471358]
  [-0.01118944 -0.00257404  0.00707281]
  [ 0.0009012   0.01199817 -0.00293426]]]","[[[ 0.00100502 -0.00662353 -0.00095017]
  [ 0.00049526 -0.00214219 -0.00819332]
  [ 0.0124021   0.002063   -0.00555104]
  [-0.02230282 -0.0006393   0.00111637]]

 [[ 0.0188018   0.01050063  0.01194177]
  [-0.0111029  -0.01501931  0.00198556]
  [ 0.01197301 -0.0045914  -0.00263596]
  [ 0.00105604 -0.00180077  0.00065569]]

 [[-0.00139176 -0.01820108  0.0036985 ]
  [ 0.00418236 -0.01264891  0.01284845]
  [ 0.00301877  0.0050059   0.00743543]
  [ 0.00281304  0.00938707  0.00797619]]

 [[-0.01415855 -0.0015054  -0.00303655]
  [-0.01969007  0.00576865  0.00917203]
  [ 0.00619123  0.00662666 -0.0001976 ]
  [-0.00483278  0.00628319  0.0009113 ]]

 [[ 0.01151816  0.00432207  0.00053022]
  [-0.00115625  0.00244792 -0.00876523]
  [-0.00456654  0.00017157  0.01676902]
  [-0.00300467 -0.00182078 -0.0023506 ]]

 [[-0.00279789  0.01190291  0.01100736]
  [-0.00106662 -0.0091556  -0.00472439]
  [-0.01120824 -0.00895606  0.00702164]
  [ 0.00089625  0.00434174 -0.00293498]]]","(100, 4)"
nm,StronglyEntangled,iris,0,2,0.38819030316603514,0.92,0.92,"[[[ 1.28224064e-03 -1.29514480e-03 -7.01353196e-04]
  [-6.57913730e-04 -4.45692738e-03 -9.34280113e-03]
  [ 1.30911863e-02  1.92331248e-01 -5.01102558e-03]
  [-2.24313719e-02  2.55559564e-02  1.01178632e-03]]

 [[ 2.12926338e-02  1.41961457e-02  1.44325948e-02]
  [-1.00341645e-02 -2.96135221e-02  3.00693507e-03]
  [ 1.16837388e-02 -1.77131858e-01 -3.45420266e-03]
  [ 1.71744631e-03 -9.09347738e-03  1.33053436e-03]]

 [[-2.02424629e-03 -7.60500061e-02  3.03048684e-03]
  [ 5.18446800e-03  1.48160981e-02  1.37932104e-02]
  [ 2.69453565e-03  4.94893535e-02  7.10669020e-03]
  [ 3.15471035e-03  1.96546817e-02  8.16500156e-03]]

 [[-1.33149053e-02  4.54552633e-03 -2.23427565e-03]
  [-2.06048316e-02  4.31276577e-02  8.39476108e-03]
  [ 7.76433262e-03 -6.64186047e-03  1.36097250e-03]
  [-4.89147413e-03  3.78342288e-02  8.38429477e-04]]

 [[ 1.07125436e-02  3.68957753e-02 -2.55286707e-04]
  [-3.28582563e-04  2.82065987e-01 -8.07487022e-03]
  [-4.38175350e-03 -6.21821138e-02  1.68429869e-02]
  [-3.01627599e-03  3.25008835e-02 -2.35386747e-03]]

 [[-2.73470103e-03 -7.28959703e-02  1.10240999e-02]
  [-1.03911608e-03  3.64056271e-02 -4.70277995e-03]
  [-1.12461285e-02  1.57058881e-03  7.03542493e-03]
  [ 9.95027695e-04  1.37597034e-02 -2.87231761e-03]]]","[[[ 0.00100502 -0.00662353 -0.00095017]
  [ 0.00049526 -0.00214219 -0.00819332]
  [ 0.0124021   0.002063   -0.00555104]
  [-0.02230282 -0.0006393   0.00111637]]

 [[ 0.0188018   0.01050063  0.01194177]
  [-0.0111029  -0.01501931  0.00198556]
  [ 0.01197301 -0.0045914  -0.00263596]
  [ 0.00105604 -0.00180077  0.00065569]]

 [[-0.00139176 -0.01820108  0.0036985 ]
  [ 0.00418236 -0.01264891  0.01284845]
  [ 0.00301877  0.0050059   0.00743543]
  [ 0.00281304  0.00938707  0.00797619]]

 [[-0.01415855 -0.0015054  -0.00303655]
  [-0.01969007  0.00576865  0.00917203]
  [ 0.00619123  0.00662666 -0.0001976 ]
  [-0.00483278  0.00628319  0.0009113 ]]

 [[ 0.01151816  0.00432207  0.00053022]
  [-0.00115625  0.00244792 -0.00876523]
  [-0.00456654  0.00017157  0.01676902]
  [-0.00300467 -0.00182078 -0.0023506 ]]

 [[-0.00279789  0.01190291  0.01100736]
  [-0.00106662 -0.0091556  -0.00472439]
  [-0.01120824 -0.00895606  0.00702164]
  [ 0.00089625  0.00434174 -0.00293498]]]","(100, 4)"
nm,StronglyEntangled,iris,0,3,0.396421507911137,0.8533333333333334,0.92,"[[[ 1.54106745e-03  3.05462379e-04 -4.50443836e-04]
  [-2.08649530e-03 -1.91044065e-02 -1.07634849e-02]
  [ 1.40851836e-02  2.25746354e-01 -4.26011853e-03]
  [-2.28570308e-02 -3.22252232e-02  6.20413922e-04]]

 [[ 2.33260838e-02  2.63737001e-02  1.64734839e-02]
  [-9.28512662e-03 -3.90614166e-02  3.71617799e-03]
  [ 1.14921557e-02 -1.54578342e-01 -4.30465058e-03]
  [ 1.98093192e-03 -3.03832491e-02  1.61536040e-03]]

 [[-3.04615093e-03 -1.44043019e-01  1.97455273e-03]
  [ 5.75363773e-03  3.96607167e-02  1.43625623e-02]
  [ 2.47890319e-03  8.29910092e-02  6.84811883e-03]
  [ 3.46467150e-03 -4.79279815e-02  8.36209990e-03]]

 [[-1.29431288e-02  1.78161715e-02 -1.89388863e-03]
  [-2.15978534e-02  6.19921680e-02  7.53376615e-03]
  [ 9.00906856e-03 -8.45579728e-03  2.59271866e-03]
  [-5.42532397e-03  5.71923982e-02  2.84893972e-04]]

 [[ 9.78193983e-03  6.42695628e-02 -1.15573231e-03]
  [ 1.42463792e-04  3.56404131e-01 -7.67902019e-03]
  [-4.27935671e-03 -2.15143617e-02  1.68925185e-02]
  [-2.82912559e-03  2.83778693e-02 -2.19429055e-03]]

 [[-2.65339335e-03 -8.25745881e-02  1.10223419e-02]
  [-1.12858211e-03  7.11356867e-02 -4.70778890e-03]
  [-1.12918337e-02  9.96416062e-03  7.00618228e-03]
  [ 1.03558269e-03  3.89206482e-03 -2.85613995e-03]]]","[[[ 0.00100502 -0.00662353 -0.00095017]
  [ 0.00049526 -0.00214219 -0.00819332]
  [ 0.0124021   0.002063   -0.00555104]
  [-0.02230282 -0.0006393   0.00111637]]

 [[ 0.0188018   0.01050063  0.01194177]
  [-0.0111029  -0.01501931  0.00198556]
  [ 0.01197301 -0.0045914  -0.00263596]
  [ 0.00105604 -0.00180077  0.00065569]]

 [[-0.00139176 -0.01820108  0.0036985 ]
  [ 0.00418236 -0.01264891  0.01284845]
  [ 0.00301877  0.0050059   0.00743543]
  [ 0.00281304  0.00938707  0.00797619]]

 [[-0.01415855 -0.0015054  -0.00303655]
  [-0.01969007  0.00576865  0.00917203]
  [ 0.00619123  0.00662666 -0.0001976 ]
  [-0.00483278  0.00628319  0.0009113 ]]

 [[ 0.01151816  0.00432207  0.00053022]
  [-0.00115625  0.00244792 -0.00876523]
  [-0.00456654  0.00017157  0.01676902]
  [-0.00300467 -0.00182078 -0.0023506 ]]

 [[-0.00279789  0.01190291  0.01100736]
  [-0.00106662 -0.0091556  -0.00472439]
  [-0.01120824 -0.00895606  0.00702164]
  [ 0.00089625  0.00434174 -0.00293498]]]","(100, 4)"
nm,StronglyEntangled,iris,0,4,0.3784220353647917,0.92,0.92,"[[[ 1.74134174e-03  2.00956655e-03 -2.56287964e-04]
  [-3.86673314e-03 -4.01505466e-02 -1.25581540e-02]
  [ 1.57835066e-02  2.73270889e-01 -2.36300210e-03]
  [-2.30493083e-02 -6.82569220e-02  4.56744096e-04]]

 [[ 2.43437793e-02  4.95492156e-02  1.75049821e-02]
  [-9.45947410e-03 -3.79101233e-02  3.54468711e-03]
  [ 1.10493676e-02 -1.66665765e-01 -5.08279740e-03]
  [ 2.66907398e-03 -4.97781080e-02  2.21743854e-03]]

 [[-3.94647574e-03 -2.08522769e-01  1.02586731e-03]
  [ 5.25997597e-03  5.58604184e-02  1.39049053e-02]
  [ 2.13505795e-03  1.08640598e-01  6.37336140e-03]
  [ 3.93774684e-03 -9.21887967e-02  8.71853970e-03]]

 [[-1.36210364e-02  4.39329204e-02 -2.55519341e-03]
  [-2.15507793e-02  8.52380809e-02  7.45235474e-03]
  [ 9.34281284e-03  3.10945565e-03  2.90987679e-03]
  [-5.61771502e-03  6.56964825e-02  8.48991192e-05]]

 [[ 8.87808701e-03  8.51331249e-02 -2.12869229e-03]
  [-2.57832520e-04  4.68294764e-01 -8.29223562e-03]
  [-4.20095496e-03 -8.17509839e-03  1.69158815e-02]
  [-2.47668877e-03 -1.04767959e-03 -1.84061186e-03]]

 [[-2.56692407e-03 -1.34141300e-01  1.09650538e-02]
  [-1.43743897e-03  8.64842352e-02 -4.89150649e-03]
  [-1.13220790e-02  3.21522443e-02  6.96415780e-03]
  [ 8.17592256e-04 -6.78749605e-04 -3.09672349e-03]]]","[[[ 0.00100502 -0.00662353 -0.00095017]
  [ 0.00049526 -0.00214219 -0.00819332]
  [ 0.0124021   0.002063   -0.00555104]
  [-0.02230282 -0.0006393   0.00111637]]

 [[ 0.0188018   0.01050063  0.01194177]
  [-0.0111029  -0.01501931  0.00198556]
  [ 0.01197301 -0.0045914  -0.00263596]
  [ 0.00105604 -0.00180077  0.00065569]]

 [[-0.00139176 -0.01820108  0.0036985 ]
  [ 0.00418236 -0.01264891  0.01284845]
  [ 0.00301877  0.0050059   0.00743543]
  [ 0.00281304  0.00938707  0.00797619]]

 [[-0.01415855 -0.0015054  -0.00303655]
  [-0.01969007  0.00576865  0.00917203]
  [ 0.00619123  0.00662666 -0.0001976 ]
  [-0.00483278  0.00628319  0.0009113 ]]

 [[ 0.01151816  0.00432207  0.00053022]
  [-0.00115625  0.00244792 -0.00876523]
  [-0.00456654  0.00017157  0.01676902]
  [-0.00300467 -0.00182078 -0.0023506 ]]

 [[-0.00279789  0.01190291  0.01100736]
  [-0.00106662 -0.0091556  -0.00472439]
  [-0.01120824 -0.00895606  0.00702164]
  [ 0.00089625  0.00434174 -0.00293498]]]","(100, 4)"
nm,StronglyEntangled,iris,0,5,0.4518375891465217,0.88,0.76,"[[[ 1.00529754e-03  3.81218398e-04 -9.96504119e-04]
  [-6.38104136e-03 -7.44413546e-02 -1.51204665e-02]
  [ 1.76016179e-02  3.52743145e-01  2.51635247e-04]
  [-2.30285946e-02 -8.65189381e-02  4.77178149e-04]]

 [[ 2.40546772e-02  8.32910130e-02  1.72470167e-02]
  [-1.06523933e-02 -8.38322534e-03  2.38703144e-03]
  [ 1.00555750e-02 -2.11658276e-01 -5.94265331e-03]
  [ 2.81294600e-03 -7.09099489e-02  2.10507612e-03]]

 [[-5.19099147e-03 -2.54431204e-01 -2.71325836e-04]
  [ 3.38631721e-03  6.43913711e-02  1.21117844e-02]
  [ 1.61969454e-03  1.23348487e-01  5.59980568e-03]
  [ 3.95827506e-03 -1.21403409e-01  8.63127020e-03]]

 [[-1.57151064e-02  9.49327536e-02 -4.49864427e-03]
  [-2.04107029e-02  1.24563613e-01  7.99362329e-03]
  [ 8.15651469e-03  2.75953429e-02  1.71101580e-03]
  [-6.34036658e-03  6.88333203e-02 -6.14018103e-04]]

 [[ 7.94016695e-03  9.89771914e-02 -3.33584665e-03]
  [-1.49157201e-03  6.10138295e-01 -1.00272940e-02]
  [-4.29355543e-03 -9.96985002e-03  1.67727065e-02]
  [-2.46464393e-03 -3.06232303e-02 -1.86007990e-03]]

 [[-2.39168509e-03 -2.23505388e-01  1.08082176e-02]
  [-1.97251260e-03  7.65668196e-02 -5.31317604e-03]
  [-1.12287515e-02  7.93967388e-02  6.92454312e-03]
  [ 2.82529942e-04 -3.73475000e-04 -3.65568943e-03]]]","[[[ 0.00100502 -0.00662353 -0.00095017]
  [ 0.00049526 -0.00214219 -0.00819332]
  [ 0.0124021   0.002063   -0.00555104]
  [-0.02230282 -0.0006393   0.00111637]]

 [[ 0.0188018   0.01050063  0.01194177]
  [-0.0111029  -0.01501931  0.00198556]
  [ 0.01197301 -0.0045914  -0.00263596]
  [ 0.00105604 -0.00180077  0.00065569]]

 [[-0.00139176 -0.01820108  0.0036985 ]
  [ 0.00418236 -0.01264891  0.01284845]
  [ 0.00301877  0.0050059   0.00743543]
  [ 0.00281304  0.00938707  0.00797619]]

 [[-0.01415855 -0.0015054  -0.00303655]
  [-0.01969007  0.00576865  0.00917203]
  [ 0.00619123  0.00662666 -0.0001976 ]
  [-0.00483278  0.00628319  0.0009113 ]]

 [[ 0.01151816  0.00432207  0.00053022]
  [-0.00115625  0.00244792 -0.00876523]
  [-0.00456654  0.00017157  0.01676902]
  [-0.00300467 -0.00182078 -0.0023506 ]]

 [[-0.00279789  0.01190291  0.01100736]
  [-0.00106662 -0.0091556  -0.00472439]
  [-0.01120824 -0.00895606  0.00702164]
  [ 0.00089625  0.00434174 -0.00293498]]]","(100, 4)"
nm,StronglyEntangled,iris,0,6,0.5792421398918293,0.7466666666666667,0.72,"[[[ 7.89012695e-04 -9.18987654e-03 -1.21695430e-03]
  [-8.83470386e-03 -1.07196318e-01 -1.76503216e-02]
  [ 1.90813461e-02  4.12826142e-01  2.17523359e-03]
  [-2.26328460e-02 -1.17770220e-01  8.48503262e-04]]

 [[ 2.43633245e-02  1.16939754e-01  1.76108737e-02]
  [-1.08419297e-02 -6.61156834e-03  2.23787358e-03]
  [ 7.83065964e-03 -2.56186762e-01 -8.29959618e-03]
  [ 3.10793109e-03 -7.26648082e-02  2.15889748e-03]]

 [[-6.16030286e-03 -2.87319147e-01 -1.43312125e-03]
  [ 1.56008092e-03  8.66970037e-02  1.03937590e-02]
  [ 2.21627792e-03  1.38628629e-01  6.04767243e-03]
  [ 4.23346165e-03 -1.44266917e-01  8.79767412e-03]]

 [[-1.72888007e-02  1.46973929e-01 -6.03014960e-03]
  [-2.00668575e-02  1.44228134e-01  8.13054247e-03]
  [ 7.62856844e-03  3.63176187e-02  1.11943764e-03]
  [-6.67838560e-03  6.79544573e-02 -9.27082383e-04]]

 [[ 6.32934648e-03  9.85896380e-02 -5.07011690e-03]
  [-2.74265065e-03  7.00975973e-01 -1.14185345e-02]
  [-4.11432262e-03 -9.07736111e-03  1.68960201e-02]
  [-2.08122981e-03 -4.47639508e-02 -1.48464340e-03]]

 [[-2.34647392e-03 -2.90587151e-01  1.05688152e-02]
  [-2.39705462e-03  7.39942918e-02 -5.64865152e-03]
  [-1.13001644e-02  1.09960250e-01  6.86525112e-03]
  [-1.29562644e-04 -7.44001385e-03 -4.08927182e-03]]]","[[[ 0.00100502 -0.00662353 -0.00095017]
  [ 0.00049526 -0.00214219 -0.00819332]
  [ 0.0124021   0.002063   -0.00555104]
  [-0.02230282 -0.0006393   0.00111637]]

 [[ 0.0188018   0.01050063  0.01194177]
  [-0.0111029  -0.01501931  0.00198556]
  [ 0.01197301 -0.0045914  -0.00263596]
  [ 0.00105604 -0.00180077  0.00065569]]

 [[-0.00139176 -0.01820108  0.0036985 ]
  [ 0.00418236 -0.01264891  0.01284845]
  [ 0.00301877  0.0050059   0.00743543]
  [ 0.00281304  0.00938707  0.00797619]]

 [[-0.01415855 -0.0015054  -0.00303655]
  [-0.01969007  0.00576865  0.00917203]
  [ 0.00619123  0.00662666 -0.0001976 ]
  [-0.00483278  0.00628319  0.0009113 ]]

 [[ 0.01151816  0.00432207  0.00053022]
  [-0.00115625  0.00244792 -0.00876523]
  [-0.00456654  0.00017157  0.01676902]
  [-0.00300467 -0.00182078 -0.0023506 ]]

 [[-0.00279789  0.01190291  0.01100736]
  [-0.00106662 -0.0091556  -0.00472439]
  [-0.01120824 -0.00895606  0.00702164]
  [ 0.00089625  0.00434174 -0.00293498]]]","(100, 4)"
nm,StronglyEntangled,iris,0,7,0.43934711548329736,0.8933333333333333,0.76,"[[[ 1.22822849e-03 -3.51948026e-02 -7.55124867e-04]
  [-1.18499092e-02 -1.41340965e-01 -2.05808338e-02]
  [ 2.03131769e-02  3.85182006e-01  1.81795060e-03]
  [-2.24361272e-02 -1.92802325e-01  8.00951972e-04]]

 [[ 2.65640930e-02  1.45161408e-01  2.00984432e-02]
  [-9.81107273e-03 -6.58253978e-02  3.30291754e-03]
  [ 1.83981103e-03 -2.59667713e-01 -1.52198512e-02]
  [ 4.26337629e-03 -4.75943739e-02  3.20554797e-03]]

 [[-6.95273813e-03 -3.09034954e-01 -2.42419574e-03]
  [-3.89722064e-04  1.04982024e-01  8.61307242e-03]
  [ 3.38322769e-03  1.74487600e-01  7.37793060e-03]
  [ 6.01551219e-03 -1.63277196e-01  1.04698466e-02]]

 [[-1.73514567e-02  1.61520957e-01 -6.61815436e-03]
  [-2.20691505e-02  1.37691558e-01  6.70426293e-03]
  [ 9.51091252e-03  1.65935261e-02  2.78596787e-03]
  [-5.47895440e-03  7.99941836e-02  3.13549622e-04]]

 [[ 2.62440748e-03  1.12374166e-01 -8.77388326e-03]
  [-5.19562519e-03  6.92914289e-01 -1.26254636e-02]
  [-2.43573977e-03  9.19160256e-03  1.85012931e-02]
  [-1.10128147e-03 -5.31711450e-02 -4.05244429e-04]]

 [[-2.83991709e-03 -2.69466430e-01  1.03442345e-02]
  [-2.29120375e-03  1.08514488e-01 -5.84171809e-03]
  [-1.22897993e-02  8.72994237e-02  6.75670490e-03]
  [-1.21455712e-04 -3.38810187e-02 -4.09072767e-03]]]","[[[ 0.00100502 -0.00662353 -0.00095017]
  [ 0.00049526 -0.00214219 -0.00819332]
  [ 0.0124021   0.002063   -0.00555104]
  [-0.02230282 -0.0006393   0.00111637]]

 [[ 0.0188018   0.01050063  0.01194177]
  [-0.0111029  -0.01501931  0.00198556]
  [ 0.01197301 -0.0045914  -0.00263596]
  [ 0.00105604 -0.00180077  0.00065569]]

 [[-0.00139176 -0.01820108  0.0036985 ]
  [ 0.00418236 -0.01264891  0.01284845]
  [ 0.00301877  0.0050059   0.00743543]
  [ 0.00281304  0.00938707  0.00797619]]

 [[-0.01415855 -0.0015054  -0.00303655]
  [-0.01969007  0.00576865  0.00917203]
  [ 0.00619123  0.00662666 -0.0001976 ]
  [-0.00483278  0.00628319  0.0009113 ]]

 [[ 0.01151816  0.00432207  0.00053022]
  [-0.00115625  0.00244792 -0.00876523]
  [-0.00456654  0.00017157  0.01676902]
  [-0.00300467 -0.00182078 -0.0023506 ]]

 [[-0.00279789  0.01190291  0.01100736]
  [-0.00106662 -0.0091556  -0.00472439]
  [-0.01120824 -0.00895606  0.00702164]
  [ 0.00089625  0.00434174 -0.00293498]]]","(100, 4)"
nm,StronglyEntangled,iris,0,8,0.38456199309241534,0.9466666666666667,0.88,"[[[ 1.42971979e-03 -6.49299847e-02 -5.23684510e-04]
  [-1.37372188e-02 -1.75757587e-01 -2.23846241e-02]
  [ 2.20197011e-02  3.51284490e-01  1.74427193e-03]
  [-2.23449936e-02 -2.55058373e-01  5.34043561e-04]]

 [[ 2.84156559e-02  1.78680684e-01  2.22534948e-02]
  [-8.36081156e-03 -1.06746482e-01  4.88350947e-03]
  [-2.65826695e-03 -2.60422911e-01 -2.05420252e-02]
  [ 5.52209713e-03 -2.91984213e-02  4.36029949e-03]]

 [[-7.63695844e-03 -3.35477693e-01 -2.81765644e-03]
  [-1.56023509e-03  1.22700062e-01  7.56625036e-03]
  [ 4.77088039e-03  2.03250718e-01  9.05165432e-03]
  [ 7.52433242e-03 -1.75958992e-01  1.19876961e-02]]

 [[-1.78850164e-02  1.87581400e-01 -7.59715711e-03]
  [-2.35265267e-02  1.35725203e-01  5.55133475e-03]
  [ 1.08624732e-02  6.00555694e-03  3.94378814e-03]
  [-4.38785459e-03  9.08110091e-02  1.44947713e-03]]

 [[-6.21588052e-04  1.34871777e-01 -1.21154926e-02]
  [-7.20344289e-03  6.73146577e-01 -1.31622747e-02]
  [-1.04876900e-03  2.31065084e-02  1.98556770e-02]
  [-3.65548598e-04 -6.60058468e-02  4.90990586e-04]]

 [[-2.76860033e-03 -2.51629180e-01  1.02404519e-02]
  [-2.25430569e-03  1.13304959e-01 -6.02314211e-03]
  [-1.30847888e-02  7.77324513e-02  6.63452304e-03]
  [-1.08129648e-04 -5.68104528e-02 -4.18239323e-03]]]","[[[ 0.00100502 -0.00662353 -0.00095017]
  [ 0.00049526 -0.00214219 -0.00819332]
  [ 0.0124021   0.002063   -0.00555104]
  [-0.02230282 -0.0006393   0.00111637]]

 [[ 0.0188018   0.01050063  0.01194177]
  [-0.0111029  -0.01501931  0.00198556]
  [ 0.01197301 -0.0045914  -0.00263596]
  [ 0.00105604 -0.00180077  0.00065569]]

 [[-0.00139176 -0.01820108  0.0036985 ]
  [ 0.00418236 -0.01264891  0.01284845]
  [ 0.00301877  0.0050059   0.00743543]
  [ 0.00281304  0.00938707  0.00797619]]

 [[-0.01415855 -0.0015054  -0.00303655]
  [-0.01969007  0.00576865  0.00917203]
  [ 0.00619123  0.00662666 -0.0001976 ]
  [-0.00483278  0.00628319  0.0009113 ]]

 [[ 0.01151816  0.00432207  0.00053022]
  [-0.00115625  0.00244792 -0.00876523]
  [-0.00456654  0.00017157  0.01676902]
  [-0.00300467 -0.00182078 -0.0023506 ]]

 [[-0.00279789  0.01190291  0.01100736]
  [-0.00106662 -0.0091556  -0.00472439]
  [-0.01120824 -0.00895606  0.00702164]
  [ 0.00089625  0.00434174 -0.00293498]]]","(100, 4)"
nm,StronglyEntangled,iris,0,9,0.3648846572082153,0.9466666666666667,0.92,"[[[ 2.26215699e-03 -9.17262224e-02  3.75757645e-04]
  [-1.44336875e-02 -2.07017400e-01 -2.30659897e-02]
  [ 2.48854214e-02  3.35993210e-01  2.38494727e-03]
  [-2.25802365e-02 -3.15617930e-01 -2.50433566e-04]]

 [[ 3.05662266e-02  2.16385836e-01  2.47869739e-02]
  [-5.13547036e-03 -1.33749943e-01  8.30507764e-03]
  [-4.39801269e-03 -2.55072099e-01 -2.31056587e-02]
  [ 7.01986590e-03 -9.65729867e-03  5.77693110e-03]]

 [[-8.81352504e-03 -3.43003365e-01 -2.90904709e-03]
  [-7.32288761e-04  1.48064321e-01  8.35727045e-03]
  [ 6.17579678e-03  2.15750146e-01  1.11988391e-02]
  [ 8.01286631e-03 -1.80616778e-01  1.25163972e-02]]

 [[-1.78269912e-02  2.23702712e-01 -8.02685407e-03]
  [-2.48771056e-02  1.41578414e-01  4.38856483e-03]
  [ 1.21893887e-02  2.97881922e-03  5.09728736e-03]
  [-3.55678777e-03  9.42813143e-02  2.44114071e-03]]

 [[-3.19135109e-03  1.70174096e-01 -1.47904299e-02]
  [-7.74582640e-03  6.31575072e-01 -1.15284627e-02]
  [-2.61743579e-04  3.65406237e-02  2.06881631e-02]
  [ 1.14773053e-03 -5.25948015e-02  2.32881510e-03]]

 [[-2.35644115e-03 -2.32346740e-01  1.01372114e-02]
  [-2.24616567e-03  8.33378102e-02 -6.24728903e-03]
  [-1.38912705e-02  8.07721170e-02  6.34055846e-03]
  [-1.44442597e-05 -8.20126695e-02 -4.38492819e-03]]]","[[[ 0.00100502 -0.00662353 -0.00095017]
  [ 0.00049526 -0.00214219 -0.00819332]
  [ 0.0124021   0.002063   -0.00555104]
  [-0.02230282 -0.0006393   0.00111637]]

 [[ 0.0188018   0.01050063  0.01194177]
  [-0.0111029  -0.01501931  0.00198556]
  [ 0.01197301 -0.0045914  -0.00263596]
  [ 0.00105604 -0.00180077  0.00065569]]

 [[-0.00139176 -0.01820108  0.0036985 ]
  [ 0.00418236 -0.01264891  0.01284845]
  [ 0.00301877  0.0050059   0.00743543]
  [ 0.00281304  0.00938707  0.00797619]]

 [[-0.01415855 -0.0015054  -0.00303655]
  [-0.01969007  0.00576865  0.00917203]
  [ 0.00619123  0.00662666 -0.0001976 ]
  [-0.00483278  0.00628319  0.0009113 ]]

 [[ 0.01151816  0.00432207  0.00053022]
  [-0.00115625  0.00244792 -0.00876523]
  [-0.00456654  0.00017157  0.01676902]
  [-0.00300467 -0.00182078 -0.0023506 ]]

 [[-0.00279789  0.01190291  0.01100736]
  [-0.00106662 -0.0091556  -0.00472439]
  [-0.01120824 -0.00895606  0.00702164]
  [ 0.00089625  0.00434174 -0.00293498]]]","(100, 4)"
